[14:19:48] [INFO] Creating Window -> Neovoid [1280, 720]
[14:19:48] [INFO] Created Window -> 0x880450
[14:19:49] [INFO] Created Device -> 0x7ff7c60e5d70
[14:19:49] [INFO] Created Swap Chain -> 0x7ff7c60e5d68
[14:19:49] [INFO] Created Device Context -> 0x7ff7c60e5d60
[14:19:49] [INFO] Found Back Buffer -> 0x6ecaefeda8
[14:19:49] [INFO] Created Render Target View -> 0x7ff7c60e5d88
[14:19:49] [INFO] Created Depth Stencil State -> 0x7ff7c60e5d90
[14:19:49] [INFO] Created Depth Stencil View -> 0x7ff7c60e5d78
[14:19:49] [INFO] Created Rasterizer State -> 0x7ff7c60e5d80
[14:19:49] [INFO] Created Blend State -> 0x7ff7c60e5d98
[14:19:49] [INFO] DirectX 11 initialized successfully
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:50] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
[14:19:51] [ERROR] Failed to resize buffers
