[15:05:30] [INFO] Creating Window -> Neovoid [1280, 720]
[15:05:30] [INFO] Created Window -> 0xb40f22
[15:05:30] [INFO] Created Device -> 0x7ff70b2f5d70
[15:05:30] [INFO] Created Swap Chain -> 0x7ff70b2f5d68
[15:05:30] [INFO] Created Device Context -> 0x7ff70b2f5d60
[15:05:30] [INFO] Found Back Buffer -> 0x9b9db7edf8
[15:05:30] [INFO] Created Render Target View -> 0x7ff70b2f5d88
[15:05:30] [INFO] Created Depth Stencil State -> 0x7ff70b2f5d90
[15:05:30] [INFO] Created Depth Stencil View -> 0x7ff70b2f5d78
[15:05:30] [INFO] Created Rasterizer State -> 0x7ff70b2f5d80
[15:05:30] [INFO] Created Blend State -> 0x7ff70b2f5d98
[15:05:30] [INFO] DirectX 11 initialized successfully
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
[15:05:32] [ERROR] Failed to resize buffers
